id,category,price,utility
188,Household,5.07,2
189,Dairy,24.15,10
190,Household,9.86,3
191,Pantry,34.48,6
192,Pantry,18.35,5
193,Hygiene,1.76,7
194,Pantry,13.27,2
195,Produce,39.76,10
196,Pantry,1.03,2
197,Produce,49.96,5
198,Produce,29.53,7
199,Hygiene,42.12,10
200,Frozen,20.74,2
201,Hygiene,6.93,2
202,Snacks,6.33,5
203,Frozen,33.43,8
204,Dairy,5.85,7
205,Produce,22.19,7
206,Produce,2.72,8
207,Hygiene,29.3,7
208,Snacks,43.17,8
209,Dairy,1.04,4
210,Snacks,5.73,2
211,Dairy,3.47,2
212,Hygiene,44.95,3
213,Hygiene,43.62,10
214,Pantry,9.46,8
215,Household,11.22,2
216,Snacks,37.58,8
217,Meat,43.77,1
218,Pantry,26.83,10
219,Hygiene,37.69,8
220,Meat,6.42,7
221,Hygiene,43.64,4
222,Frozen,3.67,1
223,Meat,28.17,7
224,Frozen,48.87,3
225,Hygiene,46.61,10
226,Meat,38.06,8
227,Dairy,14.55,3
228,Frozen,38.17,2
229,Hygiene,30.93,8
230,Frozen,21.69,9
231,Frozen,45.61,8
232,Produce,19.68,5
233,Pantry,49.75,7
234,Dairy,29.33,2
235,Hygiene,2.36,1
236,Produce,6.16,2
237,Meat,10.09,3
238,Snacks,2.42,1
239,Household,13.14,4
240,Hygiene,20.94,1
241,Hygiene,40.8,3
242,Dairy,10.56,10
243,Pantry,21.0,5
244,Hygiene,36.01,8
245,Hygiene,1.56,6
246,Pantry,49.29,10
247,Frozen,4.69,1
248,Hygiene,34.99,4
249,Meat,3.35,1
250,Snacks,20.34,1
251,Pantry,31.47,7
252,Snacks,1.4,2
253,Frozen,2.51,2
254,Meat,14.81,3
255,Pantry,41.94,5
256,Meat,32.69,2
257,Snacks,28.87,7
258,Frozen,46.84,6
259,Dairy,31.63,8
260,Dairy,11.13,5
261,Frozen,34.14,2
262,Household,11.89,9
263,Meat,42.05,8
264,Hygiene,41.52,7
265,Dairy,1.96,5
266,Hygiene,1.66,2
267,Snacks,8.4,9
268,Frozen,17.9,7
269,Dairy,35.06,5
270,Produce,24.35,5
271,Household,36.86,9
272,Meat,15.53,6
273,Produce,8.77,1
274,Hygiene,1.41,2
275,Produce,1.13,3
276,Household,1.23,4
277,Household,33.39,6
278,Produce,4.77,3
279,Pantry,32.24,6
280,Snacks,1.01,4
281,Meat,1.01,1
282,Frozen,14.56,8
283,Hygiene,30.66,2
284,Hygiene,13.44,1
285,Pantry,11.28,1
286,Hygiene,36.18,2
287,Hygiene,25.87,2
288,Meat,19.13,4
289,Meat,8.11,5
290,Hygiene,13.52,2
291,Household,10.06,7
292,Meat,34.55,2
293,Meat,9.92,6
294,Snacks,24.11,2
295,Dairy,1.43,2
296,Meat,33.29,10
297,Meat,23.0,7
298,Produce,46.95,6
299,Dairy,17.37,5
300,Hygiene,3.46,2
301,Meat,1.65,1
302,Frozen,36.0,10
303,Produce,19.17,5
304,Produce,2.59,5
305,Meat,7.04,1
306,Frozen,1.24,1
307,Dairy,28.28,6
308,Hygiene,6.69,6
309,Dairy,39.23,9
310,Produce,23.26,6
311,Frozen,12.56,5
312,Household,28.93,6
313,Dairy,4.93,8
314,Pantry,1.1,10
315,Produce,1.0,4
316,Snacks,29.61,5
317,Produce,13.12,3
318,Frozen,14.9,4
319,Meat,1.25,1
320,Frozen,1.02,6
321,Frozen,17.11,7
322,Pantry,1.65,1
323,Snacks,32.46,6
324,Dairy,10.35,3
325,Frozen,14.45,5
326,Meat,3.41,2
327,Dairy,14.8,3
328,Meat,26.92,3
329,Household,1.52,1
330,Snacks,29.32,3
331,Hygiene,11.55,10
332,Hygiene,23.73,10
333,Meat,37.6,3
334,Hygiene,1.23,5
335,Pantry,18.14,2
336,Pantry,11.45,3
337,Pantry,1.29,2
338,Frozen,11.49,1
339,Hygiene,41.49,4
340,Meat,18.94,1
341,Hygiene,1.52,6
342,Dairy,13.47,2
343,Hygiene,49.12,10
344,Snacks,7.49,7
345,Frozen,30.39,1
346,Meat,1.21,2
347,Frozen,4.96,10
348,Snacks,6.45,3
349,Meat,5.72,7
350,Snacks,18.35,5
351,Frozen,21.29,3
352,Dairy,21.45,6
353,Produce,7.44,1
354,Meat,45.01,4
355,Snacks,2.18,1
356,Produce,22.47,10
357,Snacks,18.48,3
358,Snacks,26.49,6
359,Household,47.07,8
360,Household,14.97,8
361,Household,7.63,8
362,Hygiene,30.01,9
363,Frozen,46.75,10
364,Snacks,38.34,8
365,Meat,16.07,5
366,Dairy,4.98,5
367,Hygiene,41.16,9
368,Dairy,44.89,9
369,Meat,43.42,7
370,Meat,3.72,6
371,Household,1.04,6
372,Snacks,1.93,1
373,Snacks,29.22,10
374,Produce,41.21,8
375,Snacks,15.76,9
376,Frozen,1.61,1
377,Dairy,1.11,10
378,Hygiene,1.19,8
379,Produce,20.57,3
380,Pantry,10.03,4
381,Frozen,2.72,9
382,Meat,1.22,9
383,Produce,8.47,7
384,Meat,4.15,1
385,Meat,3.85,2
386,Meat,1.87,6
387,Snacks,34.79,8
388,Snacks,33.27,7
389,Produce,5.22,1
390,Produce,5.88,7
391,Hygiene,4.14,4
392,Pantry,7.24,6
393,Pantry,1.76,7
394,Hygiene,40.22,3
395,Hygiene,24.47,9
396,Pantry,32.45,2
397,Frozen,18.78,9
398,Pantry,6.06,3
399,Pantry,5.6,7
400,Snacks,24.31,1
401,Meat,19.52,1
402,Dairy,23.07,9
403,Snacks,45.48,10
404,Hygiene,1.06,2
405,Meat,7.43,1
406,Snacks,23.6,6
407,Hygiene,29.53,9
408,Meat,8.76,4
409,Dairy,1.03,2
410,Frozen,41.89,9
411,Hygiene,3.26,8
412,Household,1.74,8
413,Snacks,40.57,2
414,Meat,22.85,9
415,Pantry,39.93,3
416,Meat,13.68,2
417,Snacks,3.75,6
418,Meat,11.7,3
419,Dairy,1.21,8
420,Frozen,29.99,2
421,Snacks,47.33,8
422,Hygiene,23.66,9
423,Snacks,29.88,7
424,Produce,34.87,5
425,Snacks,2.29,4
426,Meat,44.99,5
427,Dairy,4.08,9
428,Pantry,1.77,9
429,Dairy,13.38,4
430,Snacks,2.44,10
431,Meat,35.78,1
432,Dairy,1.1,10
433,Pantry,21.77,7
434,Produce,13.15,5
435,Pantry,12.43,7
436,Pantry,11.08,3
437,Hygiene,9.46,6
438,Snacks,5.79,6
439,Frozen,1.84,9
440,Dairy,5.99,5
441,Hygiene,4.01,1
442,Frozen,37.59,3
443,Meat,43.72,4
444,Snacks,13.17,8
445,Pantry,13.12,3
446,Hygiene,46.79,10
447,Produce,1.13,8
448,Pantry,15.11,7
449,Snacks,39.16,7
450,Meat,1.1,2
451,Household,7.44,2
452,Hygiene,29.63,7
453,Dairy,1.81,1
454,Meat,16.25,3
455,Household,18.79,1
456,Produce,1.07,8
457,Hygiene,2.09,3
458,Meat,43.5,7
459,Pantry,18.27,9
460,Hygiene,25.61,5
461,Meat,6.38,2
462,Pantry,32.11,1
463,Hygiene,4.45,10
464,Household,26.5,3
465,Frozen,2.07,1
466,Dairy,2.78,7
467,Snacks,9.36,3
468,Hygiene,38.33,1
469,Snacks,14.18,8
470,Frozen,5.82,3
471,Meat,15.62,5
472,Hygiene,2.81,2
473,Pantry,3.48,5
474,Pantry,25.35,8
475,Meat,12.28,5
476,Pantry,1.73,7
477,Frozen,33.82,3
478,Pantry,1.09,2
479,Meat,42.84,8
480,Household,3.0,9
481,Pantry,1.92,10
482,Household,3.88,9
483,Household,20.94,5
484,Meat,26.22,5
485,Produce,46.58,3
486,Frozen,21.89,8
487,Hygiene,21.74,5
488,Meat,4.99,1
489,Household,15.03,1
490,Snacks,9.56,1
491,Frozen,31.42,8
492,Pantry,38.67,9
493,Dairy,43.24,8
494,Hygiene,39.75,9
495,Hygiene,4.65,6
496,Snacks,27.19,3
497,Produce,27.59,10
498,Household,2.51,7
499,Frozen,14.01,4
500,Dairy,2.67,1
501,Household,1.0,8
502,Pantry,45.6,10
503,Produce,4.35,4
504,Produce,22.85,3
505,Frozen,24.06,5
506,Dairy,20.99,6
507,Household,3.35,1
508,Hygiene,28.4,7
509,Hygiene,29.11,4
510,Household,23.68,2
511,Hygiene,14.67,10
512,Dairy,1.19,9
513,Household,17.07,4
514,Hygiene,1.66,2
515,Hygiene,1.41,1
516,Hygiene,1.85,10
517,Produce,16.3,5
518,Produce,8.68,4
519,Dairy,1.1,2
520,Produce,43.8,9
521,Produce,5.04,1
522,Frozen,7.87,8
523,Frozen,7.91,9
524,Snacks,21.93,3
525,Frozen,14.7,4
526,Produce,29.02,8
527,Frozen,14.86,4
528,Hygiene,6.87,3
529,Dairy,1.05,10
530,Produce,3.84,2
531,Produce,10.77,1
532,Household,27.87,4
533,Household,28.89,3
534,Pantry,3.69,10
535,Meat,17.34,6
536,Household,5.46,3
537,Household,9.38,3
538,Snacks,20.2,8
539,Produce,47.32,7
540,Meat,24.76,5
541,Frozen,2.66,4
542,Household,5.43,8
543,Produce,16.5,9
544,Snacks,8.39,2
545,Dairy,42.67,2
546,Household,1.13,10
547,Produce,38.4,9
548,Household,12.26,6
549,Pantry,45.88,9
550,Dairy,28.33,4
551,Household,8.71,2
552,Pantry,8.1,6
553,Pantry,4.35,8
554,Hygiene,1.48,8
555,Meat,41.96,7
556,Produce,16.51,3
557,Produce,4.33,10
558,Frozen,5.27,1
559,Frozen,16.91,5
560,Meat,4.24,8
561,Hygiene,2.39,3
562,Snacks,26.42,9
563,Produce,14.45,2
564,Produce,29.63,4
565,Dairy,25.5,7
566,Hygiene,7.82,10
567,Hygiene,22.3,6
568,Frozen,1.01,5
569,Pantry,1.01,7
570,Snacks,1.56,1
571,Household,2.81,6
572,Pantry,31.96,7
573,Hygiene,16.64,4
574,Pantry,23.93,1
575,Dairy,9.05,8
576,Produce,20.87,2
577,Hygiene,36.01,6
578,Dairy,40.23,4
579,Household,40.8,10
580,Hygiene,4.6,5
581,Produce,2.58,1
582,Household,17.89,7
583,Dairy,5.39,10
584,Frozen,23.46,7
585,Snacks,31.62,2
586,Meat,1.14,2
587,Meat,18.95,10
588,Frozen,47.0,5
589,Hygiene,12.79,7
590,Frozen,2.69,7
591,Dairy,30.22,6
592,Dairy,1.33,2
593,Snacks,27.81,2
594,Dairy,1.0,6
595,Pantry,1.51,1
596,Hygiene,16.2,2
597,Produce,1.39,10
598,Meat,37.55,8
599,Frozen,30.75,9
600,Household,17.03,4
601,Snacks,1.94,8
602,Snacks,1.2,7
603,Pantry,12.49,3
604,Household,26.47,10
605,Household,11.27,2
606,Frozen,6.41,6
607,Hygiene,6.49,10
608,Snacks,5.42,4
609,Hygiene,5.84,6
610,Pantry,27.46,10
611,Household,6.2,2
612,Meat,1.64,10
613,Snacks,23.77,8
614,Household,10.42,4
615,Dairy,33.86,7
616,Hygiene,1.95,5
617,Snacks,26.07,2
618,Hygiene,49.09,7
619,Frozen,15.48,6
620,Dairy,1.59,2
621,Meat,2.36,10
622,Frozen,46.8,7
623,Dairy,1.01,2
624,Household,10.74,10
625,Snacks,6.83,1
626,Pantry,9.48,2
627,Snacks,6.95,4
628,Hygiene,6.94,3
629,Hygiene,5.98,2
630,Produce,36.33,3
631,Household,14.05,6
632,Frozen,46.01,10
633,Snacks,2.7,7
634,Produce,27.64,8
635,Frozen,8.41,4
636,Pantry,28.73,2
637,Dairy,32.32,6
638,Meat,2.9,2
639,Hygiene,14.65,10
640,Frozen,19.31,6
641,Meat,36.03,5
642,Dairy,23.13,4
643,Pantry,1.67,3
644,Frozen,9.57,2
645,Frozen,2.69,3
646,Snacks,12.75,3
647,Hygiene,19.8,1
648,Hygiene,1.91,9
649,Hygiene,9.2,8
650,Hygiene,2.37,4
651,Pantry,1.05,1
652,Snacks,30.87,8
653,Dairy,17.07,5
654,Meat,15.4,8
655,Household,49.0,10
656,Household,5.34,8
657,Pantry,6.95,8
658,Dairy,30.48,8
659,Meat,37.33,7
660,Snacks,19.6,4
661,Produce,16.92,10
662,Snacks,6.13,5
663,Pantry,45.45,2
664,Snacks,46.42,1
665,Pantry,37.84,7
666,Household,2.05,4
667,Frozen,12.74,5
668,Frozen,7.9,1
669,Frozen,14.03,3
670,Hygiene,45.25,1
671,Dairy,27.18,6
672,Dairy,32.02,7
673,Household,12.99,5
674,Meat,15.68,4
675,Meat,40.18,1
676,Dairy,20.21,1
677,Dairy,43.33,9
678,Produce,49.2,3
679,Pantry,2.24,5
680,Dairy,22.0,5
681,Snacks,1.13,4
682,Frozen,22.05,1
683,Household,12.14,2
684,Hygiene,1.0,2
685,Frozen,24.6,4
686,Frozen,1.39,2
687,Meat,7.62,2
688,Snacks,21.17,2
689,Produce,19.25,4
690,Household,20.33,5
691,Hygiene,37.24,7
692,Snacks,28.74,7
693,Meat,46.46,3
694,Household,4.76,2
695,Pantry,30.73,5
696,Household,14.14,7
697,Pantry,21.46,4
698,Hygiene,8.3,3
699,Dairy,14.68,6
700,Meat,1.85,10
701,Frozen,7.54,8
702,Dairy,1.01,1
703,Household,1.08,1
704,Pantry,20.36,7
705,Frozen,25.13,7
706,Snacks,4.77,9
707,Household,47.52,10
708,Frozen,17.85,2
709,Pantry,24.92,4
710,Produce,3.93,2
711,Hygiene,19.37,5
712,Snacks,1.7,1
713,Snacks,13.07,9
714,Pantry,2.37,1
715,Dairy,30.16,7
716,Pantry,14.45,4
717,Dairy,13.06,1
718,Hygiene,37.19,7
719,Pantry,30.3,2
720,Household,27.89,5
721,Household,1.1,3
722,Snacks,43.49,9
723,Frozen,3.47,2
724,Meat,4.61,1
725,Dairy,13.35,3
726,Household,32.7,7
727,Dairy,38.69,5
728,Meat,1.37,6
729,Household,5.17,10
730,Household,11.55,8
731,Household,27.29,4
732,Snacks,1.0,4
733,Meat,20.82,1
734,Meat,1.0,5
735,Dairy,3.06,7
736,Hygiene,46.27,3
737,Pantry,1.42,9
738,Frozen,25.07,2
739,Dairy,13.52,7
740,Dairy,18.17,5
741,Snacks,3.75,1
742,Frozen,25.06,6
743,Hygiene,4.62,1
744,Snacks,30.81,3
745,Dairy,2.32,7
746,Dairy,15.07,4
747,Hygiene,5.66,1
748,Dairy,2.22,10
749,Produce,3.27,3
750,Dairy,25.78,7
751,Produce,23.47,4
752,Produce,45.42,9
753,Household,1.44,1
754,Dairy,1.01,4
755,Snacks,2.92,2
756,Pantry,42.24,8
757,Household,40.91,3
758,Dairy,41.14,6
759,Dairy,1.09,3
760,Frozen,34.08,1
761,Frozen,23.87,4
762,Snacks,4.71,3
763,Produce,19.48,5
764,Hygiene,9.32,1
765,Dairy,4.84,1
766,Household,20.49,1
767,Frozen,30.96,9
768,Hygiene,6.8,6
769,Frozen,4.58,2
770,Household,1.04,5
771,Produce,33.04,6
772,Household,47.48,10
773,Household,4.48,1
774,Household,17.24,7
775,Meat,43.86,3
776,Snacks,3.74,6
777,Produce,25.25,10
778,Snacks,16.54,4
779,Pantry,2.51,1
780,Household,18.74,4
781,Produce,6.39,3
782,Meat,26.19,6
783,Produce,1.02,3
784,Dairy,36.11,2
785,Meat,25.32,10
786,Dairy,6.55,3
787,Frozen,31.72,6
788,Snacks,25.51,10
789,Meat,3.44,3
790,Frozen,5.61,3
791,Snacks,27.03,10
792,Frozen,36.47,10
793,Produce,2.62,10
794,Household,21.05,5
795,Snacks,6.37,2
796,Meat,2.38,2
797,Meat,10.77,2
798,Dairy,7.02,1
799,Produce,8.3,3
800,Frozen,12.91,9
801,Frozen,1.5,10
802,Household,2.3,1
803,Pantry,1.02,1
804,Dairy,6.72,3
805,Dairy,15.66,2
806,Meat,18.29,8
807,Produce,10.12,10
808,Frozen,2.21,1
809,Household,9.21,9
810,Pantry,22.38,4
811,Produce,8.56,8
812,Snacks,1.15,1
813,Pantry,34.26,8
814,Household,1.46,2
815,Pantry,47.78,2
816,Pantry,31.19,5
817,Dairy,21.19,6
818,Frozen,7.69,5
819,Hygiene,11.6,3
820,Produce,2.12,2
821,Dairy,22.87,7
822,Household,16.02,9
823,Frozen,46.69,8
824,Household,12.11,4
825,Produce,13.35,10
826,Snacks,1.71,3
827,Snacks,47.31,3
828,Produce,9.78,7
829,Household,49.73,10
830,Pantry,6.01,2
831,Dairy,8.38,6
832,Pantry,14.23,1
833,Frozen,1.62,2
834,Dairy,42.92,2
835,Pantry,37.87,7
836,Pantry,8.19,10
837,Hygiene,1.07,1
838,Frozen,1.07,6
839,Household,1.12,5
840,Meat,1.02,5
841,Pantry,4.85,2
842,Household,1.88,8
843,Meat,4.56,2
844,Household,10.56,7
845,Hygiene,29.26,1
846,Snacks,1.21,7
847,Snacks,30.85,10
848,Produce,2.48,4
849,Produce,4.05,6
850,Household,4.68,9
851,Frozen,20.78,4
852,Household,7.8,3
853,Hygiene,17.88,3
854,Pantry,28.49,5
855,Produce,8.32,3
856,Household,37.0,4
857,Pantry,21.8,1
858,Hygiene,41.71,10
859,Produce,3.45,5
860,Pantry,9.8,6
861,Hygiene,4.11,9
862,Frozen,17.74,5
863,Meat,16.45,5
864,Pantry,23.95,6
865,Pantry,21.11,5
866,Pantry,2.74,4
867,Produce,32.79,10
868,Frozen,22.38,1
869,Hygiene,49.75,10
870,Frozen,8.39,3
871,Household,6.77,9
872,Hygiene,41.27,9
873,Pantry,36.02,9
874,Snacks,5.23,5
875,Snacks,44.94,2
876,Household,7.19,5
877,Frozen,31.43,5
878,Pantry,11.54,2
879,Dairy,11.93,2
880,Frozen,14.76,3
881,Snacks,49.25,10
882,Hygiene,2.01,3
883,Dairy,12.65,3
884,Meat,20.73,5
885,Household,29.39,5
886,Hygiene,31.21,3
887,Frozen,20.66,8
888,Frozen,1.0,6
889,Produce,39.99,9
890,Household,1.02,2
891,Household,3.51,5
892,Snacks,1.52,5
893,Snacks,1.21,1
894,Hygiene,26.96,6
895,Frozen,39.64,6
896,Hygiene,7.32,2
897,Produce,3.56,3
898,Household,27.4,3
899,Dairy,7.59,1
900,Frozen,38.65,9
901,Produce,18.28,3
902,Produce,1.11,1
903,Frozen,1.75,2
904,Snacks,3.07,1
905,Pantry,9.68,3
906,Pantry,20.01,7
907,Dairy,13.82,5
908,Dairy,31.18,10
909,Household,30.66,4
910,Meat,25.25,5
911,Hygiene,41.61,8
912,Meat,3.69,1
913,Dairy,35.18,3
914,Dairy,30.78,8
915,Dairy,41.11,8
916,Pantry,4.42,1
917,Produce,36.59,6
918,Frozen,27.73,5
919,Produce,36.57,3
920,Meat,7.26,10
921,Pantry,38.81,8
922,Snacks,1.63,8
923,Pantry,35.22,8
924,Frozen,21.63,2
925,Snacks,24.75,4
926,Dairy,9.48,10
927,Hygiene,2.61,6
928,Produce,37.46,3
929,Hygiene,42.51,9
930,Hygiene,1.1,1
931,Produce,25.32,10
932,Household,47.86,6
933,Dairy,10.18,8
934,Meat,22.59,3
935,Produce,1.01,9
936,Hygiene,36.56,2
937,Hygiene,6.04,5
938,Produce,13.59,7
939,Frozen,33.72,7
940,Hygiene,1.38,6
941,Dairy,48.12,1
942,Dairy,8.98,3
943,Produce,34.42,10
944,Pantry,39.82,8
945,Meat,7.47,1
946,Hygiene,6.4,10
947,Hygiene,26.17,8
948,Dairy,1.47,1
949,Meat,7.18,5
950,Meat,25.15,5
951,Hygiene,1.97,7
952,Dairy,4.17,1
953,Frozen,3.28,4
954,Meat,1.57,10
955,Dairy,30.21,10
956,Snacks,46.52,10
957,Produce,16.0,10
958,Hygiene,42.87,3
959,Snacks,27.15,6
960,Meat,13.45,10
961,Household,4.67,5
962,Hygiene,32.74,8
963,Pantry,35.83,6
964,Household,2.98,5
965,Meat,42.58,10
966,Snacks,13.44,6
967,Dairy,29.36,10
968,Frozen,23.28,9
969,Pantry,38.73,1
970,Dairy,1.03,2
971,Produce,2.96,3
972,Pantry,23.88,4
973,Pantry,3.04,6
974,Hygiene,1.51,9
975,Household,28.01,4
976,Pantry,24.53,5
977,Frozen,9.5,6
978,Produce,1.01,2
979,Hygiene,34.75,6
980,Household,30.52,5
981,Hygiene,2.54,3
982,Snacks,27.48,5
983,Frozen,4.82,1
984,Pantry,1.0,3
985,Produce,2.16,1
986,Pantry,12.79,6
987,Dairy,31.12,4
988,Snacks,14.28,3
989,Frozen,15.45,6
990,Household,39.24,6
991,Meat,5.22,10
992,Hygiene,49.67,1
993,Dairy,22.93,10
994,Household,46.05,6
995,Frozen,42.11,7
996,Pantry,15.3,5
997,Meat,13.96,8
998,Produce,5.31,6
999,Dairy,45.06,10
1000,Produce,20.26,6
1001,Household,37.66,2
1002,Household,15.17,7
1003,Dairy,28.33,6
1004,Meat,1.07,1
1005,Pantry,16.26,4
1006,Pantry,9.14,7
1007,Frozen,5.91,2
1008,Produce,21.16,10
1009,Produce,25.07,7
1010,Dairy,5.12,10
1011,Dairy,4.88,7
1012,Frozen,34.12,6
1013,Household,1.91,9
1014,Pantry,46.17,10
1015,Meat,45.91,10
1016,Snacks,1.74,2
1017,Frozen,15.14,5
1018,Household,28.44,6
1019,Household,9.34,9
1020,Snacks,2.27,1
1021,Household,1.64,10
1022,Produce,36.52,9
1023,Hygiene,21.36,6
1024,Dairy,4.08,2
1025,Hygiene,45.37,4
1026,Dairy,4.98,1
1027,Meat,12.57,5
1028,Snacks,16.67,6
1029,Frozen,2.39,4
1030,Frozen,4.75,6
1031,Hygiene,11.5,5
1032,Hygiene,15.91,5
1033,Dairy,35.72,3
1034,Household,4.4,2
1035,Dairy,40.0,1
1036,Frozen,29.99,5
1037,Pantry,15.47,8
1038,Snacks,7.56,3
1039,Pantry,1.88,2
1040,Frozen,7.49,1
1041,Snacks,29.09,5
1042,Snacks,16.72,3
1043,Hygiene,44.22,9
1044,Household,1.19,1
1045,Household,14.14,7
1046,Hygiene,42.28,1
1047,Meat,1.52,5
1048,Pantry,17.41,7
1049,Frozen,7.54,2
1050,Pantry,7.94,9
1051,Frozen,7.1,8
1052,Hygiene,39.57,7
1053,Hygiene,2.34,2
1054,Pantry,3.19,1
1055,Dairy,22.42,6
1056,Dairy,12.36,4
1057,Snacks,21.53,4
1058,Produce,1.8,3
1059,Produce,39.88,7
1060,Pantry,42.69,7
1061,Produce,38.82,5
1062,Dairy,3.3,8
1063,Hygiene,2.43,10
1064,Snacks,31.94,3
1065,Pantry,2.38,8
1066,Dairy,3.59,2
1067,Produce,3.01,9
1068,Frozen,34.47,3
1069,Hygiene,40.83,9
1070,Dairy,1.43,10
1071,Produce,40.42,7
1072,Frozen,7.72,3
1073,Frozen,3.58,7
1074,Meat,18.0,10
1075,Dairy,9.87,1
1076,Dairy,4.93,7
1077,Pantry,2.75,1
1078,Dairy,14.24,4
1079,Meat,9.19,2
1080,Pantry,4.35,10
1081,Meat,19.35,7
1082,Household,9.37,8
1083,Snacks,7.72,5
1084,Pantry,17.35,7
1085,Snacks,36.82,4
1086,Hygiene,31.05,2
1087,Household,13.66,9
1088,Produce,2.27,1
1089,Dairy,34.21,10
1090,Frozen,1.38,1
1091,Dairy,19.17,7
1092,Pantry,25.81,3
1093,Hygiene,10.44,4
1094,Pantry,2.86,9
1095,Household,19.54,6
1096,Household,22.02,2
